"PeakNumber";"Group";"CompoundName";"Isomer";"Class";"TechnicalMixture";"DetectedinPacificDolphin";"SpectrumFilename";"Identification";"Comment";"FragmentIdentification";"Formula";"RetentionTime1D";"RetentionTime2D";"TypicallyMonitored";"Instrument"
1017;14;"DDMU";"DDMU 13";"known degradation product ";"DDT 500PPM";FALSE;14;"Authentic MS";"All have the same mass spectrum, but exceed the number of possible isomers.";"176 [M-HCl3]+; 212 [M-Cl2]+; 247 [M-Cl]+; 282 M+ ";"C14H9Cl3";1453.51;0.997;FALSE;"GCxGC-TOF, EI, 70 eV"
1037;14;"DDMU";"DDMU 14";"known degradation product ";"DDT 500PPM";TRUE;14;"Authentic MS";"All have the same mass spectrum, but exceed the number of possible isomers.";"176 [M-HCl3]+; 212 [M-Cl2]+; 247 [M-Cl]+; 282 M+ ";"C14H9Cl3";1467.5;1.155;FALSE;"GCxGC-TOF, EI, 70 eV"
1073;14;"DDMU";"DDMU 15";"known degradation product ";"DDT 500PPM";FALSE;14;"Authentic MS";"All have the same mass spectrum, but exceed the number of possible isomers.";"176 [M-HCl3]+; 212 [M-Cl2]+; 247 [M-Cl]+; 282 M+ ";"C14H9Cl3";1474.5;1.01;FALSE;"GCxGC-TOF, EI, 70 eV"
743;15;"unknown 5";"unknown 5-1";"other";"DDT 500PPM";FALSE;15;NA;NA;NA;NA;1292.6;1.162;FALSE;"GCxGC-TOF, EI, 70 eV"
1279;15;"unknown 5";"unknown 5-2";"other";"DDT 500PPM";FALSE;15;NA;NA;NA;NA;1551.46;1.36;FALSE;"GCxGC-TOF, EI, 70 eV"
804;16;"DDE";"DDE 1";"major degradation product ";"DDT 500PPM";FALSE;16;"Authentic MS";"";"176 [M-Cl4]+; 211 [M-Cl3]+; 246 [M-Cl2]+; 281 [M-Cl]+; 316 M+ ";"C14H8Cl4";1338.08;1.175;FALSE;"GCxGC-TOF, EI, 70 eV"
827;16;"DDE";"o,p'-DDE";"major degradation product ";"DDT 500PPM";TRUE;16;"Authentic MS RT";"";"176 [M-Cl4]+; 211 [M-Cl3]+; 246 [M-Cl2]+; 281 [M-Cl]+; 316 M+ ";"C14H8Cl4";1352.07;1.175;TRUE;"GCxGC-TOF, EI, 70 eV"
856;16;"DDE";"DDE 2";"major degradation product ";"DDT 500PPM";FALSE;16;"Authentic MS";"";"176 [M-Cl4]+; 211 [M-Cl3]+; 246 [M-Cl2]+; 281 [M-Cl]+; 316 M+ ";"C14H8Cl4";1369.56;1.155;FALSE;"GCxGC-TOF, EI, 70 eV"
885;16;"DDE";"p,p'-DDE";"major degradation product ";"DDT 500PPM";TRUE;16;"Authentic MS RT";"";"176 [M-Cl4]+; 211 [M-Cl3]+; 246 [M-Cl2]+; 281 [M-Cl]+; 316 M+ ";"C14H8Cl4";1383.55;1.181;TRUE;"GCxGC-TOF, EI, 70 eV"
907;16;"DDE";"DDE 3";"major degradation product ";"DDT 500PPM";FALSE;16;"Authentic MS";"";"176 [M-Cl4]+; 211 [M-Cl3]+; 246 [M-Cl2]+; 281 [M-Cl]+; 316 M+ ";"C14H8Cl4";1397.54;1.148;FALSE;"GCxGC-TOF, EI, 70 eV"
